,Date,Team_1,Team_2,Winner,Margin,Ground,Winner 
0,09-11-2007,South Africa,West Indies,South Africa,8 wickets,Johannesburg,
1,09-12-2007,Kenya,New Zealand,New Zealand,9 wickets,Durban,
2,09-12-2007,Pakistan,Scotland,Pakistan,51 runs,Durban,
3,09-12-2007,Australia,Zimbabwe,Zimbabwe,5 wickets,Cape Town,
4,13-09-2007,Bangladesh,West Indies,Bangladesh,6 wickets,Johannesburg,
5,13-09-2007,England,Zimbabwe,England,50 runs,Cape Town,
6,13-09-2007,India,Scotland,,abandoned with a toss,Durban,
7,14-09-2007,Kenya,Sri Lanka,Sri Lanka,172 runs,Johannesburg,
8,14-09-2007,Australia,England,Australia,8 wickets,Cape Town,
9,14-09-2007,India,Pakistan,India,tied,Durban,
10,15-09-2007,New Zealand,Sri Lanka,Sri Lanka,7 wickets,Johannesburg,
11,15-09-2007,South Africa,Bangladesh,South Africa,7 wickets,Cape Town,
12,16-09-2007,India,New Zealand,New Zealand,10 runs,Johannesburg,
13,16-09-2007,Australia,Bangladesh,Australia,9 wickets,Cape Town,
14,16-09-2007,South Africa,England,South Africa,19 runs,Cape Town,
15,17-09-2007,Pakistan,Sri Lanka,Pakistan,33 runs,Johannesburg,
16,18-09-2007,England,New Zealand,New Zealand,5 runs,Durban,
17,18-09-2007,Australia,Pakistan,Pakistan,6 wickets,Johannesburg,
18,18-09-2007,Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,
19,19-09-2007,South Africa,New Zealand,South Africa,6 wickets,Durban,
20,19-09-2007,England,India,India,18 runs,Durban,
21,20-09-2007,Australia,Sri Lanka,Australia,10 wickets,Cape Town,
22,20-09-2007,Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,
23,20-09-2007,South Africa,India,India,37 runs,Durban,
24,22-09-2007,New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,
25,22-09-2007,Australia,India,India,15 runs,Durban,
26,24-09-2007,India,Pakistan,India,5 runs,Johannesburg,
27,06-05-2009,England,Netherlands,Netherlands,4 wickets,London,
28,06-06-2009,New Zealand,Scotland,New Zealand,7 wickets,London,
29,06-06-2009,Australia,West Indies,West Indies,7 wickets,London,
30,06-06-2009,Bangladesh,India,India,25 runs,Nottingham,
31,06-07-2009,Scotland,South Africa,South Africa,130 runs,London,
32,06-07-2009,England,Pakistan,England,48 runs,London,
33,06-08-2009,Bangladesh,Ireland,Ireland,6 wickets,Nottingham,
34,06-08-2009,Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,
35,06-09-2009,Netherlands,Pakistan,Pakistan,82 runs,London,
36,06-09-2009,New Zealand,South Africa,South Africa,1 run,London,
37,06-10-2009,Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,
38,06-10-2009,India,Ireland,India,8 wickets,Nottingham,
39,06-11-2009,Ireland,New Zealand,New Zealand,83 runs,Nottingham,
40,06-11-2009,England vs,South Africa,South Africa,7 wickets,Nottingham,
41,06-12-2009,Pakistan,Sri Lanka,Sri Lanka,19 runs,London,
42,06-12-2009,India vs,West Indies,West Indies,7 wickets,London,
43,13-06-2009,South Africa,West Indies,South Africa,20 runs,London,
44,13-06-2009,New Zealand,Pakistan,Pakistan,6 wickets,London,
45,14-06-2009,Ireland,Sri Lanka,Sri Lanka,9 runs,London,
46,14-06-2009,England,India,England,3 runs,London,
47,15-06-2009,Ireland,Pakistan,Pakistan,39 runs,London,
48,15-06-2009,England vs,West Indies,West Indies,5 wickets(D/L method),London,
49,16-06-2009,New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,
50,16-06-2009,India,South Africa,South Africa,12 runs,Nottingham,
51,18-06-2009,Pakistan,South Africa,Pakistan,7 runs,Nottingham,
52,19-06-2009,Sri Lanka,West Indies,Sri Lanka,57 runs,London,
53,21-06-2009,Pakistan,Sri Lanka,Pakistan,8 wickets,London,
54,30-04-2010,New Zealand ,Sri Lanka,New Zealand,2 wickets,Guyana,
55,30-04-2010,West Indies,Ireland,West Indies,70 runs, Guyana,
56,01-05-2010,Afghanistan,India,India,7 wickets,St Lucia,
57,01-05-2010,Bangladesh,Pakistan,Pakistan,21 runs,St Lucia,
58,02-05-2010,India,South Africa,India,14 runs,St Lucia,
59,02-05-2010,Australia,Pakistan,Australia,34 runs,St Lucia,
60,03-05-2010,Sri Lanka,Zimbabwe,Sri Lanka,14 runs (D/L method),Guyana,
61,03-05-2010,West Indies,England,West Indies,8 wickets (D/L method),Guyana,
62,04-05-2010,New Zealand,Zimbabwe,New Zealand,7 runs (D/L method),Guyana,
63,04-05-2010,England,Ireland,,No Result,Guyana,
64,05-05-2010,Australia,Bangladesh,Australia,27 runs,Barbados,
65,05-05-2010,Afghanistan,South Africa,South Africa,59 runs,Barbados,
66,06-05-2010,England,Pakistan,England,6 wickets,Barbados,
67,06-05-2010,New Zealand,South Africa,South Africa,13 runs,Barbados,
68,07-05-2010,Australia,India,Australia,49 runs,Barbados,
69,07-05-2010,West Indies,Sri Lanka,Sri Lanka,57 runs,Barbados,
70,08-05-2010,New Zealand,Pakistan,New Zealand,1 run,Barbados,
71,08-05-2010,England,South Africa,England,39 runs,Barbados,
72,09-05-2010,West Indies,India,West Indies,14 runs,Barbados,
73,09-05-2010,Australia,Sri Lanka,Australia,81 runs,Barbados,
74,10-05-2010,Pakistan,South Africa,Pakistan,11 runs,St Lucia,
75,10-05-2010,England,New Zealand,England,3 wickets,St Lucia,
76,11-05-2010,India,Sri Lanka,Sri Lanka,5 wickets,St Lucia,
77,11-05-2010,West Indies,Australia,Australia,6 wickets,St Lucia,
78,13-05-2010,England,Sri Lanka,England,7 wickets,St Lucia,
79,14-05-2010,Australia,Pakistan,Australia,3 wickets,St Lucia,
80,16-05-2010,Australia,England,England,7 wickets,Barbados,
81,18-09-2012,Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,
82,19-09-2012,Australia,Ireland,Australia,7 wickets,Colombo,
83,19-09-2012,India,Afghanistan,India,23 runs,Colombo,
84,20-09-2012,South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,
85,21-09-2012,Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,
86,21-09-2012,England,Afghanistan,England,116 runs,Colombo,
87,22-09-2012,Sri Lanka,South Africa,South Africa,32 runs,Hambantota,
88,22-09-2012,Australia,West Indies,Australia,17 runs (D/L method),Colombo,
89,23-09-2012,New Zealand,Pakistan,Pakistan,13 runs,Pallekele,
90,23-09-2012,England,India,India,90 runs,Colombo,
91,24-09-2012,West Indies,Ireland,,,Colombo,
