Date,Team 1,Team 2,Winner,Margin,Ground
07-01-2016,New Zealand,Sri Lanka,New Zealand,3 runs,Mount Maunganui
08-01-2016,Afghanistan,Zimbabwe,Afghanistan,5 runs,Sharjah
10-01-2016,New Zealand,Sri Lanka,New Zealand,9 wickets,Auckland
10-01-2016,Afghanistan,Zimbabwe,Afghanistan,81 runs,Sharjah
15-01-2016,New Zealand,Pakistan,Pakistan,16 runs,Auckland
15-01-2016,Bangladesh,Zimbabwe,Bangladesh,4 wickets,Khulna
17-01-2016,New Zealand,Pakistan,New Zealand,10 wickets,Hamilton
17-01-2016,Bangladesh,Zimbabwe,Bangladesh,42 runs,Khulna
20-01-2016,Bangladesh,Zimbabwe,Zimbabwe,31 runs,Khulna
22-01-2016,New Zealand,Pakistan,New Zealand,95 runs,Wellington
22-01-2016,Bangladesh,Zimbabwe,Zimbabwe,18 runs,Khulna
26-01-2016,Australia,India,India,37 runs,Adelaide
29-01-2016,Australia,India,India,27 runs,Melbourne
30-01-2016,Hong Kong,Scotland,Hong Kong,9 wickets,Mong Kok
31-01-2016,Hong Kong,Scotland,Scotland,37 runs,Mong Kok
31-01-2016,Australia,India,India,7 wickets,Sydney
03-02-2016,U.A.E.,Netherlands,Netherlands,84 runs,ICCA Dubai
04-02-2016,U.A.E.,Scotland,U.A.E.,9 runs,ICCA Dubai
05-02-2016,Netherlands,Scotland,Scotland,37 runs,ICCA Dubai
06-02-2016,Ireland,P.N.G.,Ireland,5 wickets,Townsville
07-02-2016,Ireland,P.N.G.,Ireland,7 runs,Townsville
09-02-2016,Ireland,P.N.G.,P.N.G.,11 runs,Townsville
09-02-2016,India,Sri Lanka,Sri Lanka,5 wickets,Pune
12-02-2016,India,Sri Lanka,India,69 runs,Ranchi
14-02-2016,U.A.E.,Ireland,Ireland,34 runs,Abu Dhabi
14-02-2016,India,Sri Lanka,India,9 wickets,Visakhapatnam
16-02-2016,U.A.E.,Ireland,U.A.E.,5 runs,Abu Dhabi
19-02-2016,Afghanistan,U.A.E.,U.A.E.,16 runs,Fatullah
19-02-2016,Hong Kong,Oman,Oman,5 runs,Fatullah
19-02-2016,South Africa,England,South Africa,3 wickets,Cape Town
20-02-2016,Afghanistan,Oman,Afghanistan,3 wickets,Fatullah
21-02-2016,Hong Kong,U.A.E.,U.A.E.,6 wickets,Fatullah
21-02-2016,South Africa,England,South Africa,9 wickets,Johannesburg
22-02-2016,Afghanistan,Hong Kong,Afghanistan,66 runs,Mirpur
22-02-2016,Oman,U.A.E.,U.A.E.,71 runs,Mirpur
24-02-2016,Bangladesh,India,India,45 runs,Mirpur
25-02-2016,Sri Lanka,U.A.E.,Sri Lanka,14 runs,Mirpur
26-02-2016,Bangladesh,U.A.E.,Bangladesh,51 runs,Mirpur
27-02-2016,India,Pakistan,India,5 wickets,Mirpur
28-02-2016,Bangladesh,Sri Lanka,Bangladesh,23 runs,Mirpur
29-02-2016,Pakistan,U.A.E.,Pakistan,7 wickets,Mirpur
01-03-2016,India,Sri Lanka,India,5 wickets,Mirpur
02-03-2016,Bangladesh,Pakistan,Bangladesh,5 wickets,Mirpur
03-03-2016,India,U.A.E.,India,9 wickets,Mirpur
04-03-2016,Pakistan,Sri Lanka,Pakistan,6 wickets,Mirpur
